""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm038304"	2.77494520597952	1.9697661117675	157.361254645044	4.26787363041185e-36	1.4911523677296e-31
"PladumEVm061919"	-2.5355344664551	6.18850165102868	148.541825086306	3.61153749988461e-34	6.30917543542342e-30
"PladumEVm020447"	2.16419639438648	4.23255561735949	133.04667146246	8.83111170756741e-31	1.02850070650233e-26
"PladumEVm027818"	-7.03709669260751	2.19160806602485	121.57471930631	2.86023656093472e-28	2.49834513006245e-24
"PladumEVm000424"	1.82391540728085	4.84687871495436	107.111549358999	4.20804560796829e-25	2.94049810993608e-21
"PladumEVm057626"	-2.74954257820486	4.77666507961327	98.5011166190469	3.24841435024171e-23	1.89160581638492e-19
"PladumEVm046400"	-2.12258682835993	7.15130239820622	93.2629524914734	4.57883172543039e-22	2.28542573792589e-18
"PladumEVm095151"	1.7467798922886	5.30018907266061	90.2391260587127	2.1104702405328e-21	8.30392675515305e-18
"PladumEVm040446"	2.92902859567757	1.30671536385986	90.2125373244096	2.13902346364743e-21	8.30392675515305e-18
"PladumEVm027205"	-5.79438077876036	2.97135165750165	89.2658991016933	3.45157777368424e-21	1.20594675834754e-17
"PladumEVm071382"	-1.94076431230519	5.10792351364709	88.0847086729707	6.27105482208996e-21	1.85718118994255e-17
"PladumEVm042103"	1.84649003718388	5.16221056011649	88.0510756851041	6.37859534597745e-21	1.85718118994255e-17
"PladumEVm001742"	1.9134692085651	2.90363833733217	80.8417362963369	2.44538305622239e-19	6.57224912318108e-16
"PladumEVm031026"	1.7841539634629	5.23167224033191	79.562630017472	4.67178794733226e-19	1.1241146634964e-15
"PladumEVm054058"	1.66103179800506	3.3600184606456	79.4984468897135	4.82604537978935e-19	1.1241146634964e-15
"PladumEVm020342"	2.29523362859164	3.4929423610511	76.9435051249415	1.75918905354699e-18	3.8415191463674e-15
"PladumEVm008943"	2.54865914697435	1.55729085335676	76.4738658037164	2.23146592798929e-18	4.58618753282458e-15
"PladumEVm098817"	-1.80623687143406	6.11111805484473	75.3227314422836	3.99731003326869e-18	7.59570532632828e-15
"PladumEVm010655"	1.6491192887728	3.20322422346771	75.2579767443871	4.13058190561371e-18	7.59570532632828e-15
"PladumEVm062880"	-2.32577564150692	5.94777757608854	74.0234856218005	7.71931428518094e-18	1.34852560904968e-14
"PladumEVm044890"	1.74950974274818	3.14956976353488	73.8531122552285	8.41516224747684e-18	1.40008263697425e-14
"PladumEVm033397"	1.8383413563397	4.38156545131906	73.5296436085057	9.91360744117491e-18	1.57441604721459e-14
"PladumEVm041807"	-6.56151560769578	0.684813721737561	72.3732131052495	1.78115299212603e-17	2.70572627790833e-14
"PladumEVm041624"	2.52703220757331	3.58931735027123	71.7853463611121	2.39927401601991e-17	3.49284311857165e-14
